date,tweet_body
2022-12-12 14:21:08+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:21:04+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:20:58+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:20:56+00:00,b'RT @politicalawake: Ron DeSantis is the most Based Politician in America \nhttps://t.co/YmhTlALh6R https://t.co/tSdIVKclcL'
2022-12-12 14:20:50+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:20:46+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:20:43+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:20:43+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:20:34+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:20:33+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:20:32+00:00,"b'RT @JHFonseca: # CASOS DE MIOCARDITE NA FL\xc3\x93RIDA AUMENTAM EM 86% ENTRE JOVENS DE 18 E 39 ANOS, AP\xc3\x93S A VACINA\xc3\x87\xc3\x83O COM mRNA (PFIZER E MODERNA).\xe2\x80\xa6'"
2022-12-12 14:20:22+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:20:20+00:00,"b'RT @FLVoiceNews: NEW: Special Session of the Florida Legislature convenes this week, called by Gov. Ron DeSantis, to address property insur\xe2\x80\xa6'"
2022-12-12 14:20:18+00:00,"b'RT @ben_rosen: musk: we must stop the woke mind virus, i hate unions and trans people, we need a republican congress, i will vote for ron d\xe2\x80\xa6'"
2022-12-12 14:20:16+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:20:12+00:00,"b'RT @ben_rosen: musk: we must stop the woke mind virus, i hate unions and trans people, we need a republican congress, i will vote for ron d\xe2\x80\xa6'"
2022-12-12 14:20:08+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:20:06+00:00,b'RT @ElTrumpista: \xf0\x9f\x9a\xa8 Gobernador de Florida Ron DeSantis confirma que llevar\xc3\xa1 a la justicia a Pfizer y Moderna luego de que estudios ordenados\xe2\x80\xa6'
2022-12-12 14:20:01+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:20:00+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:19:58+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, and endorsed Ron De\xe2\x80\xa6'"
2022-12-12 14:19:57+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:19:53+00:00,"b'RT @ben_rosen: musk: we must stop the woke mind virus, i hate unions and trans people, we need a republican congress, i will vote for ron d\xe2\x80\xa6'"
2022-12-12 14:19:51+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:19:47+00:00,"b'RT @AnnaForFlorida: \xe2\x80\x9cBecause he\xe2\x80\x99ll run for president, he wants as many conservative wins as possible,\xe2\x80\x9d said State Rep. Anna Eskamani (D-Orl\xe2\x80\xa6'"
2022-12-12 14:19:46+00:00,"b'RT @JHFonseca: # CASOS DE MIOCARDITE NA FL\xc3\x93RIDA AUMENTAM EM 86% ENTRE JOVENS DE 18 E 39 ANOS, AP\xc3\x93S A VACINA\xc3\x87\xc3\x83O COM mRNA (PFIZER E MODERNA).\xe2\x80\xa6'"
2022-12-12 14:19:39+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:19:38+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:19:35+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:19:34+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:19:33+00:00,"b'RT @FrankMikeDavis1: If YOU could transport ""Marjorie Traitor Greene"", like Ron DeSantis did to the Venezuelan asylum seekers in Texas, whe\xe2\x80\xa6'"
2022-12-12 14:19:32+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:19:25+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:19:23+00:00,"b'RT @JHFonseca: # CASOS DE MIOCARDITE NA FL\xc3\x93RIDA AUMENTAM EM 86% ENTRE JOVENS DE 18 E 39 ANOS, AP\xc3\x93S A VACINA\xc3\x87\xc3\x83O COM mRNA (PFIZER E MODERNA).\xe2\x80\xa6'"
2022-12-12 14:19:20+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:19:20+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:19:18+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:19:16+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
