date,tweet_body
2022-12-12 01:44:22+00:00,b'RT @FarmGirlCarrie: \xe2\x80\x98I\xe2\x80\x99m talkin\xe2\x80\x99 to some of you Trumpers that are out there scratching your heads\xe2\x80\xa6stop listening to these \xe2\x80\x9cConservative\xe2\x80\x9d ta\xe2\x80\xa6'
2022-12-12 01:44:22+00:00,b'RT @jbrown11871: Donald Trump has been accused of rape by several women and by a teenager. Trump has denied all claims he is a rapist. He h\xe2\x80\xa6'
2022-12-12 01:44:20+00:00,b'RT @JennyPatriot2: What a POS: \n\nDonald Trump \nEric \nDon Jr \nJared \nMTG \nTucker Carlson\nTed Cruz\nSean Hannity \nKevin McCarthy\nLindsey Graha\xe2\x80\xa6'
2022-12-12 01:44:20+00:00,b'#Fauci didn\xe2\x80\x99t lie. @elonmusk lie about Fauci. I\xe2\x80\x99m grateful to Fauci integrity and work. #Trump lied and scientific\xe2\x80\xa6 https://t.co/KXtvPxUdJC'
2022-12-12 01:44:18+00:00,"b'RT @JeffreyGoldberg: ""Even as a far-right shitposter, Musk is hapless. Unlike somebody such as Donald Trump, who remains the Twitter troll\xe2\x80\xa6'"
2022-12-12 01:44:14+00:00,"b'RT @ericareport: If you voted for Donald Trump, you are a racist. You have no wiggle room.'"
2022-12-12 01:44:13+00:00,b'RT @alx: Tonight\xe2\x80\x99s #TwitterFiles4 Drop revealed that Yoel Roth actively was pushing to ban Donald Trump and was overjoyed when he got appro\xe2\x80\xa6'
2022-12-12 01:44:12+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:12+00:00,b'Special Counsel Smith speeds ahead on criminal probes surrounding Trump | CNN Politics\n\n Washington\n CNN\n \xc2\xa0\xe2\x80\x94\xc2\xa0\n\n New\xe2\x80\xa6 https://t.co/FCM5PCcLbn'
2022-12-12 01:44:11+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:10+00:00,b'RT @GrahamAllen_1: The latest Twitter Files PROVE the swamp worked against Donald Trump in 2020...'
2022-12-12 01:44:09+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:44:06+00:00,"b""RT @itsJeffTiedrich: hey dipshits: Donald Trump had two years to bring Paul Whelan home and he didn't do shit and you didn't say shit, so f\xe2\x80\xa6"""
